Name,Botanical_name,Botanical_family,Synonyms,CAS_No,FL_No,FEMA_No,NAS_No,CoE_No,EINECS_No,JECFA_No,E_No,Description,Consumption,Individual,CoE,FDA,FDA_other,JECFA,Trade_association_guidelines,IOFI,Specifications,Reported_uses_ppm,Food_Category_Usual_Max,Aroma_threshold_values,Taste_threshold_values,Empirical_Formula_MW,Synthesis,Natural_occurrence,EAFUS_No,Derivatives,Derivative_names,NOTE,Foreign_names,Essential_oil_composition,Genus_Species,Composition,INS_No,Animal_family,Physical_chemical_characteristics
"SAGE OIL",,,,8022-56-8,,3001,3001,,,,,"Obtained by steam distillation of the partially dried leaves with yields ranging from 0.5 to 1.0%. Depending on the growing site and even the harvesting time, the oils may exhibit widely different physical–chemical constants. The oil has a charac-teristic thujone odor. Dalmatian sage oil is considered the best quality. Dalmatian sage serves as the standard sage to which others are compared, as it is considered to possess the finest and most characteristic sage aroma. Sage oil, Spanish type (described below) is obtained from the plants of Salvia lavandulaefolia Vahl. or S. hispanorium Lag ","18,333.33 lb ","0.01553 mg/kg/day",,"21 CFR 182.20, 582.20","See Sage",,"10.035 mg",Natural,"(FCC, 1996); Angular rotation; Between +2° and +29°; Refractive index; Between 1.457 and 1.469 (20°C); Assay; Not less than 50% ketones, calculated ; as thujone (C10H16O); Saponification value; Between 5 and 20; Ester value after ; acetylation; Between 25 and 60; Solubility in alcohol; Passes test; Heavy metals (as Pb); Passes test; Specific gravity; Between 0.903 and 0.925 (25°C)","(FEMA, 1994)","[['Alcoholic beverages', '3.12', '5.32'], ['Gelatins, puddings', '3.11', '5.46'], ['Baked goods', '20.18', '34.24'], ['Gravies', '150.00', '225.00'], ['Condiments, relishes', '11.52', '18.31'], ['Meat products', '57.04', '126.00'], ['Fats, oils', '4.00', '8.00'], ['Nonalcoholic beverages', '8.22', '10.21'], ['Frozen dairy', '10.70', '14.93'], ['Soft candy', '14.61', '22.85']]",,"Taste characteristics at 60 ppm; green, spicy, herbal, woody, minty, cooling and tea ",,,,,,,"The above specifications are for Dalmatian oil",,"The oil contains α- and β-thujone, d-α-pinene, cineol, bornyl acetate, camphor and linalyl acetate. In addition, the dried product contains β-sitosterol and triterpenic acids. Thujones account for half of the composition of the oil ",,,,,"The oil is a mobile, almost colorless to pale-yellow liquid. It is soluble in most fixed oils and mineral oil. Frequently the solutions in mineral oil are opalescent. It is slightly soluble in propylene glycol and practically insoluble in glycerin "
"SAGE OLEORESIN",,,,,,3002,3002,,,,,"Sage oleoresin is obtained by organic solvent extraction. While both essential oil and oleoresin extractives are produced from sage, the oil is the principal form. Also see Sage ","2133.33 lb","0.001807 mg/kg/day",,"21 CFR 182.20, 582.20",,,"14.577 mg",Natural,,"(FEMA, 1994)","[['Baked goods', '59.39', '74.27'], ['Meat products', '77.26', '138.50'], ['Condiments, relishes', '40.00', '60.00']]",,"Taste characteristics at 20 ppm; green, sweet, perfume-like, with a slight floral spice backnote ",,,,977029-66-5,,,,,,,,,,
"SAGE, GREEK","Salvia triloba L. f , Salvia fruticosa Mill ","Lamiaceae; Labiatae",,,,,6214,,,,,"Shrubs grow mainly in Greece and Turkey. The plant has thicker, larger, shorter leaves than S. officinalis L. The part used is the leaf. Greek sage has a harsh, rosemary, spike and a camphor-like odor ","8033.33 lb","0.006807 mg/kg/day",,"21 CFR 182.10, 582.10",,,,,"(Burdock, 1997); Acid value. (max); 2.0; Refractive index; 1.464 (20°C); Appearance; Colorless liquid; Specific gravity; 0.931 (20°C); Ester value; 2.4; Solubility; 1:1.4 in 90% ethanol; Ester value (after ; acetylation); 16.1",,,,,,,,977051-95-8,,,"The above specifications are for the oil obtained by steam distillation of freshly cut leaves","Sauge (Fr ), Salbei (Ger ), Salvia (Sp ), Salvia (It )",,,,,,
"SAGE, SPANISH","Salvia lavendulaefolia Vahl , Salvia hispanica L ","Lamiaceae; Labiatae",,,,,,,,,,"Wild herb growing mainly in Spain (Murcia, Almeria and Granada provinces). The only part used is the leaves. Spanish sage has a camphoraceous, fresh odor with a cineole top note ",,,,"See Spanish Sage Oil","HOC (1992)",,,,,,,,,,,,,,,,"Sauge (Fr ), Salbei (Ger ), Salvia (Sp ), Salvia (It )",,,,,,
"SAGE, SPANISH OIL",,,,,,3003,3003,,,,,"Spanish sage oil, obtained by steam distillation, is a slightly yellow liquid having a camphoraceous odor with a cineole top note ","2233.33 lb","0.001892 mg/kg/day",,"21 CFR 182.20, 582.20","See Sage, Spanish ",,"4.712 mg",Natural,"(FCC, 1996); Angular rotation; Between –3° and +24°; Saponification value ; after acetylation; Between 56 and 98; Heavy metals (as Pb); Passes test; Solubility in alcohol; Passes test; Refractive index; Between 1.468 and 1.473 (20°C); Specific gravity; Between 0.909 and 0.932 (25°C); Saponification value; Between 14 and 57","(FEMA, 1994)","[['Alcoholic beverages', '3.00', '5.08'], ['Gravies', '20.00', '40.00'], ['Baked goods', '11.11', '21.04'], ['Meat products', '26.47', '40.45'], ['Condiments, relishes', '9.14', '17.10'], ['Nonalcoholic beverages', '4.66', '6.75'], ['Frozen dairy', '6.13', '11.34'], ['Soft candy', '11.37', '21.11'], ['Gelatins, puddings', '3.01', '5.06']]",,,,,,977125-77-1,,,,,"Main constituents include cineol, linalool, linalyl acetate, linalyl isovalerate, d-camphor, probably cam-phene, pinene and dipentene. Some oils from the Jaen province of Spain have been reported to exhibit a slight levo optical rotation ",,,,,"It is a colorless to slightly yellowish oil. It is soluble in most fixed oils and in glycerin. It is soluble, usually with opalescence, in mineral oil and propylene glycol "
"SAINT JOHN’S WORT","Hypericum perforatum L","Clusiaceae; Guttiferae; Hypericaceae","Klamath weed; John’s wort; Amber touch and heal; Goatweed; Millepertuis; Rosin rose",,,,6358,,,,,"St. John’s wort is a very common and widespread perennial herbaceous plant. It grows wild in Italy and in mountainous areas of central Europe, Africa, North America and northern Asia. The plant is from 20 to 90 cm (8 to 35 in ) high, has an erect stem, opposite oval-shaped leaves and golden-yellow flowers grouped in clusters. It flowers from June to September. The essential oil is little known. The oil can be prepared by steam distillation in very low yields. The parts used are the flowering tops, leaves and caulis. St. John’s wort has a balsamic odor and an aromatic taste ","<1.00 lb",,"Category 5 (with limits on hypericin and xanthones)","21 CFR 172.510","HOC (1992)",,,Natural,,"Dried products used in formulation of liqueurs",,,,,,,977092-96-8,"Infusion (3%), fluid extract and tincture (20% in 25% ethanol)",,,"Millepertuis officinal (Fr ), Johanniskraut (Ger ), Hiperico’n (Sp ), Iperico (It )",,,"Phenylpropanes, flavonol derivatives, biflavones, proanthocyanidins, xanthones, phloroglucinols, some amino acids, naphthodianthrones and essential oil constituents are the natural plant products known from the crude drug of Hypericum perfora-tum * Flavonoids, such as quercetin, kaempferol, luteolin, amentoflavone, glycosides rutin and hyperoside, have been identified in the plant. The herb contains vitamin C (0.13%), myrcene, tannin (~10%), α-pinene, alkaloids, ocimene and xanthone derivatives. The essence can be dextro- or levorotatory, depending on the origin, and contains α-pinene. The dried product contains hypericin. The best-known components of the plant are anthraquinone derivatives hypericin (0.02 to 2.5%, red pigment) and pseudohypericin. Essential oil contains 2-methyloctane (16.4%), α-pinene (10.6%), dodecanol (5%), nonane (3.4%), undecane (3.2%), 3-methyl nonane (3.2%), isoundecane (3.1%), 6-methyl-5-hepten-2-one (2.1%) (CoE, 2000) ",,,
SALICYLALDEHYDE,,,"2-Hydroxybenzaldehyde;  o-Hydroxybenzaldehyde;  Salicylic. aldehyde;  Benzaldehyde,. o-hydroxy;  Benzaldehyde, 2-hydroxy-; o-Formylphenol; 2-Formylphenol; Salicylal; Salicylaldehyde",90-02-8,5.055,3004,3004,605,201-961-0,897,,"Salicylaldehyde has a pungent, irritating, bitter, almond-like odor similar to benzaldehyde, acetophenone and nitroben-zene, but with phenolic notes. It has a nut-like, coumarin flavor at low levels ","161.67 lb","0.000137 mg/kg/day","5 ppm","21 CFR 172.515",,"Acceptable. No safety concern at current levels of intake when used as a flavoring agent (2001)","2.015 mg","Nature Identical","(JECFA, 2008); Acid value (max); 10.0; Refractive index; 1.570–1.576 (20°C); Appearance; Colorless to straw, oily liquid; Solubility; Soluble in most organic solvents and ; oils; slightly soluble in water; ; miscible in ethanol at room ; temperature; Assay (min); 95%; Specific gravity; 1.159–1.170 (25°C); Boiling point; 196–197°C","(FEMA, 1994)","[['Alcoholic beverages', '0.59', '1.54'], ['Gelatins, puddings', '0.89', '1.84'], ['Baked goods', '10.47', '11.80'], ['Hard candy', '1.13', '1.54'], ['Chewing gum', '4.24', '13.31'], ['Nonalcoholic beverages', '3.43', '4.89'], ['Condiments, relishes', '1.00', '2.00'], ['Soft candy', '6.20', '7.86'], ['Frozen dairy', '5.40', '7.11']]","30 ppb","Taste characteristics at 20 ppm; spicy, medicinal and astringent ",C7H6O2/122.12,"From phenol, chloroform and alkali according to Reimer–Tiemann method (1876); starting material for the manufacture of coumarin ","Occurs frequently in nature; in the flowers of Spirea ulmaria and other Spireae, in the roots of Crepis foetida L , in the fruits of Pinus avium, in the rind of Rauqolfia caffra, in the leaves of Ceanothus velutinus and in the essential oil of Cinnamomum cassia and of tobacco leaves. Also reported found in grapes, tomato, baked potato, cinnamon bark, cassia leaf, pep-permint oil, pennyroyal oil, parmesan cheese, butter, milk powder, roasted chicken, beer, rum, Japanese whiskey, sherry, coffee, tea, soybean, mushroom, buckwheat, Bourbon vanilla, Chinese quince, Muscat grape, vanilla and mastic gum oil ",,,,,,,,,,,
"SANDALWOOD, WHITE","Santalum album L —East Indian Sandalwood; S. spicatum (R. Br ) (A DC ); Eucarya spicata (R. Br ) Sprag. & Summ —Australian sandalwood",Santalaceae,"Yellow sandalwood; East Indian sandalwood; Yellow saunders; White saunders",,,,6359,,,,,"East Indian sandalwood is a tall evergreen tree native to southern India. It grows wild or cultivated in India and throughout Malaysia. East Indian sandalwood should not be confused with Amyns balsamifera, or West Indian sandalwood, a small tree growing in the woods and forests of Haiti and Jamaica. Australian sandalwood is a small shrub native specifically to southern and western Australia. The East Indian sandalwood is an evergreen tree that grows to 8 to 12 m in height. Only the hard core of the wood and the roots of East Indian sandalwood undergo distillation after removal of the bark and of the soft, external woody layer, whereas the whole trunk, branches and roots of West Indian sandalwood are used for distillation. The part used is the wood from the trunk and roots. White sandalwood has a strong, persistent, warm, woody odor ",,,"Category 5 (additional toxicological and/or chemical information is required)","21 CFR 172.510","HOC (1992)",,,Natural,,,,,,,,,977020-85-1,"Steam-distilled oil from wood and oleoresin",,,"Bois de santal (Fr ), Sandelholz (Ger ), Sandalo (Sp ), Sandalo (It )",,,"Hydroxyproline-containing. protein. from. soluble. extracts. of. the. leaves. of. sandalwood. has. been. isolated. and characterized *",,,
"SANDALWOOD, YELLOW OIL",,,,8006-87-9,9.139,3005,3005,420,,,,"East Indian sandalwood essential oil is steam-distilled from comminuted dried, ground roots and wood chips. It has a strong, warm, woody odor ","145.00 lb","0.0001228 mg/kg/day","baked goods 9.72, frozen dairy products 3.63, soft candy 9.71, gelatins, puddings 0.73, alcoholic beverages 0.77, nonalcoholic beverages 1.96, hard candy 89.98, chewing gum 2.56","21 CFR 175.510","HOC (1992)",,"0.974 mg",Natural,"(FCC, 1996); Angular rotation; Between –14° and –22°; Refractive index; Between 1.500 and 1.510 (20°C); Appearance; Pale-yellow to yellow, somewhat ; viscous, oily liquid; Specific gravity; Between 0.965 and 0.980 (25°C); Assay (min); 90% alcohol, calculated as santalol ; (C15H24O); Solubility in alcohol; Passes test; Heavy metals (as Pb); Passes test","(FEMA, 1994)","[['Alcoholic beverages', '0.46', '0.77'], ['Gelatins, puddings', '0.27', '0.73'], ['Baked goods', '4.91', '9.72'], ['Hard candy', '89.98', '89.98'], ['Chewing gum', '2.56', '2.56'], ['Nonalcoholic beverages', '1.27', '1.96'], ['Frozen dairy', '2.54', '3.63'], ['Soft candy', '4.90', '9.71']]",,"Taste characteristics at 5.0 ppm; woody, sandalwood, balsamic and floral with a terpy nuance ",,,,,,,,,"East Indian sandalwood essential oil consists mainly of α-santalol (90%) with traces of phenols, lactones and terpenes. The oil obtained from the heartwood of the plant contains approximately 90% of α- and β-santalols and several other minor components including sesquiterpene hydrocarbons (~6%). The santalols are responsible for the pleasant odor. The seed oil contains stearolic acid and santalbic acid ",,,,,"The oil is a pale-yellow to yellow liquid. It is soluble in most fixed oils, mineral oil (sometimes with haziness) and propylene glycol. It is insoluble in glycerin "
SANDARAC,"Tetraclinis articulata (Vahl) Masters",Cupressaceae,,9000-57-1,,,6147,,232-547-8,,,"A small conifer growing 12 to 15 m tall in the mountains of Morocco and Algeria. The tree has hard, durable, fragrant wood frequently used in building. A natural oleoresin exudes from incisions made on the trunk and branches and solidifies into brittle, faintly aromatic, yellow grains, or tears. The resin finds use primarily in varnishes and as an incense. The part used is the oleoresin. Sandarac has a turpentine-like, fresh, resinous odor ",,,,"21 CFR 172.510",,,,Natural,,,,,,,,,,Tincture,,,"(Sp ), Sandarac (It )","The heartwood of this species is known to contain several compounds including thymoquinone, carvacrol and β- and γ-thujaplicins ",,,,,"Sandarac oil, prepared by steam distillation of the resin, is a colorless to pale-yellow liquid with a fresh, balsamic odor reminiscent of turpentine "
"SANTALOL, α and β",,,"“Argeol”; “Arheol”; d-α-Santalol; l-β-Santalol; Santalol; Santalol (alpha and beta)",11031-45-1,,3006,3006,74,234-262-4,984,,"Santalol (α- and β-) has a sweet, sandalwood odor ","1.67 lb","0.00000141 mg/kg/day","2 ppm","21 CFR 172.515",,"Acceptable. No safety concern at current levels of intake when used as a flavoring agent (2002)","0.664 mg","Nature Identical","(JECFA, 2008); Appearance; Almost colorless viscous liquid; Refractive index; 1.498–1.509 (20°C); Assay (min); 95.0%; Solubility; Insoluble in water and soluble oils; ; poorly soluble in propylene glycol ; and glycerin; miscible in ethanol at ; room temperature; Boiling point; 302°C; Specific gravity; 0.965–0.975 (25°C); Other requirements; 60–65% alpha; 30–35% beta form","(FEMA, 1994)","[['Alcoholic beverages', '0.08', '0.40'], ['Gelatins, puddings', '0.08', '0.16'], ['Baked goods', '4.07', '6.21'], ['Nonalcoholic beverages', '0.59', '1.37'], ['Chewing gum', '0.08', '0.10'], ['Soft candy', '3.39', '5.29'], ['Frozen dairy', '0.81', '1.20']]",,,C15H24O/220.36,"The commercial product is generally a mixture of α- and β-santalol obtained by fractional distillation of sandalwood oil; noncommercial syntheses are known","The stereochemistry of santalols has been discussed by Brieger (Burdock, 1995); santalols are found among the constituents of various sandalwood species (Santalum album L , S. spicatum, S. autrocaledonicum); the α- and β-isomers are present in varying ratios, with the α-isomer usually more abundant ",,,,,,,,,,,
"SANTALYL ACETATE, α- and β-",,,"α-Santalol, acetate; β-Santalol, acetate; Santalol, acetate",1323-00-8,9.034,3007,3007,224,215-349-6,985,,"Santalyl acetate (α- and β-) has a characteristic, sandalwood-like odor. It has a pleasant bittersweet taste with an apricot-like undertone ","1.67 lb","0.00000141 mg/kg/day","2 ppm","21 CFR 172.515",,"Acceptable. No safety concern at current levels of intake when used as a flavoring agent (2002)","0.764 mg","Nature Identical","(JECFA, 2008); Acid value (max); 1.0; Refractive index; 1.485–1.493 (20°C); Appearance; Almost colorless to very pale straw-; colored, slightly viscous liquid; Solubility; 1 mL is soluble in 9 mL 80% alcohol; ; soluble in alcohol; insoluble in water; Assay (min); 95% total esters as C17H26O2; Specific gravity; 0.980–0.986 (25°C); Boiling point; 20.8°C (3 mmHg)","(FEMA, 1994)","[['Alcoholic beverages', '0.20', '1.14'], ['Gelatins, puddings', '0.02', '0.04'], ['Baked goods', '4.80', '6.47'], ['Nonalcoholic beverages', '0.64', '1.31'], ['Chewing gum', '1.11', '1.44'], ['Soft candy', '2.43', '4.27'], ['Frozen dairy', '0.69', '1.37']]",,"Taste characteristics at 50 ppm; woody, ionone and berry-like ",C17H26O2/262.40,"By acetylation of santalol obtained from sandalwood oil that contains the two stereoisomer forms (α and β) of the alcohol; therefore, the resulting ester is a mixture of the α- and β-isomers ","Not reported found in nature",,,,,,,,,,,
"SANTALYL PHENYLACETATE, α and β",,,"Santalol, benzeneacetate; α-Santalyl α-toluate; β-Santalyl α-toluate; Santalol, phenylacetate; Santalyl phenylac-etate; Santalyl phenyl acetate",1323-75-7,9.712,3008,3008,239,215-358-5,1022,,"Santalyl phenylacetate (α- and β-) has a heavy, musky-rosy, waxy odor. It has a characteristic flavor with a fruity and honey-like undertone ","<1.00 lb","<0.000001 mg/kg/day","2 ppm","21 CFR 172.515",,"Acceptable. No safety concern at current levels of intake when used as a flavoring agent (2002)","0.635 mg",,"(JECFA, 2008); Acid value (max); 1.0; Refractive index; 1.525–1.576 (20°C); Appearance; Almost colorless or very pale straw-; colored, viscous liquid; Solubility; Miscible in ethanol (room ; temperature); soluble in oils; ; insoluble in water; Assay (min); 98%; Specific gravity; 1.022–1.029 (25°C); Boiling point; 328°C","(FEMA, 1994)","[['Alcoholic beverages', '1.00', '3.00'], ['Nonalcoholic beverages', '1.00', '2.67'], ['Baked goods', '3.33', '5.75'], ['Soft candy', '3.00', '4.67'], ['Frozen dairy', '0.93', '1.67']]",,,C23H30O2/338.49,"The commercial product consists of a mixture of the α- and β-isomers","Not reported found in nature",,,,,,,,,,,
"SARCODACTYLIS OIL","Citrus medica L. var. sarcodactylis (Hoola van Nooten) Swingle",Rutaceae,"Fingered citron; Fructus citri; Sarcodactylis",,,3899,,,,,,"Citrus medica L. var. sarcodactylis (Hoola van Nooten) Swingle, is a “fingered” variety of citron. This evergreen plant produces fragrant blossoms and fruit all year. It thrives in full sun with a moderate open growth to 3 m high or smaller as a container plant. The fruit is about 12 cm (5 in ) long. Similar to citrons, fingered citron produces an extremely strong and pleasant odor. It is shaped like a hand with extra fingers and when ripe the fruit turns bright yellow. The fruit emits a smell without its skin being rup-tured to expose an essential oil. Interestingly the smell is not citrusy, but very reminiscent of violets. The aroma will persist for weeks until the fruit dries out, shrinking to the size of a large pecan, but never rotting ",,,,,,,"40.514110 mg",,,"(FEMA, 1998)","[['Alcoholic beverages', '91.10', '182.20'], ['Meat products', '150.00', '300.00'], ['Baked goods', '93.00', '186.00'], ['Nonalcoholic beverages', '68.60', '137.20'], ['Frozen dairy', '49.50', '99.00'], ['Soft candy', '95.20', '190.40'], ['Gelatins, puddings', '200.00', '400.00']]",,,,,,977185-29-7,,,,,,,,,,
SARSAPARILLA,"Smilax aristolochiifolia Mill. (Mexican sarsaparilla); Smilax regelli Killip & Morton (Honduran sarsaparilla); Smilax febrifuga Kunth (Ecuadorian sarsaparilla); undetermined Smilax species (Ecuadorean or Central American sarsaparilla)",Smilacaceae,,,,,,,,,,"Sarsaparilla is a perennial vine native to tropical America and the West Indies. There are several related species. The plant has a very thin stem and large, laminar, petiolate leaves with stipular tendrils that enable it to climb. Several sarsaparilla quali-ties are commercially available. The roots of Mexican origin (Vera Cruz, Tampico) are usually bigger and exhibit a thicker and more wrinkled skin than other varieties. Honduras sarsaparilla is sold in “cigars” consisting of folded roots externally tied into a small bundle by another root. The so-called Jamaican quality (Brazil, Central America, Colombia) differs from the Honduras product in its dark-red color. The only part used is the root. Sarsaparilla has very little odor and a sweet, creamy, licorice, slightly bitter flavor ",,,,"See Sarsaparilla Extract","HOC (1992)",,,,,,,,,,,,,"Fluid extract and dried water–alcohol extract. These derivatives exhibit similar characteristics independently of botani-cal source",,,"Salsepareille (Fr ), Sarzaparilla (Ger ), Salsaparilla (Sp ), Salsapariglia (It )",,,"Main constituents include sarsaponin, parillin and smilagenin. Five phenylpropanoid esters of sucrose glycosides, trivially named smiglasides A-E, were isolated from the rhizomes of Smilax glabra *",,,
"SARSAPARILLA EXTRACT",,,,,,3009,3009,,,,,"See Sarsaparilla","46.67 lb","0.00003954 mg/kg/day",,"21 CFR 172.510","See Sarsparilla",,"102.574 mg",Natural,,"(FEMA, 1994)","[['Baked goods', '700.00', '2000.00'], ['Nonalcoholic beverages', '10.33', '12.90'], ['Frozen dairy', '100.00', '200.00'], ['Soft candy', '500.00', '1000.00']]",,"Taste characteristics at 1500 ppm; astringent, woody, sweet and coumarinic with a tobacco, botanical nuance ",,,,977022-67-5,,,,,,,,,,
"SASSAFRAS (LEAVES)","Sassafras albidum (Nutt ) Nees",Lauraceae,"Ague tree; Bois de Sassafras; Saxifras; Cinnamon wood; Saloop; Lignum floridium or pavanum",,,3011,3011,,,,,"The tree, common to the United States and Canada, may reach up to 10 m (33 ft) in height. It has trilobed leaves and oval leaves of various sizes. The parts used are the root bark and leaves. Sassafras has a spicy odor, reminiscent of fennel and a sweetish, aromatic flavor. In addition to its flavoring uses, sassafras bark tea was used in folk medicines as a diuretic and “blood cleansing” agent ",,,,"21 CFR 172.510","HOC (1992)",,"317.000 mg",Natural,,"(FEMA, 1994)","[['Soups', '10,000.00', '30,000.00']]",,,,,,977088-38-2,"Fluid extract and tincture (20% in 60% ethanol)",,,"Sassafras (Fr ), Sassafras (Ger ), Sassafras (Sp ), Sassafrasso (It )",,,"The plant contains alkaloids (boldine, reticuline), tannins, resins, wax and mucilage. The major compounds isolated from the root bark oil were safrole (85%), camphor (3.25%) and methyleugenol (1.10%). Ten sesquiterpenes were also identified *",,,
"SASSAFRAS BARK EXTRACT",,,,,,3010,3010,,,,,"Sassafras root bark oil is obtained by steam distillation with yields of 6 to 9% when distilling the bark only, or with yields of 1.8% when distilling the whole root. It has a characteristic odor and taste ","916.66 lb","0.0007768 mg/kg/day",,"21 CFR 172.580",,,"16.035 mg",Natural,"(Burdock, 1997); Congealing point; 4.5 to 6.9°C; Solubility; 1:1 to 1:2 in 90% ethanol; Optical rotation; + 2° to +3°38ʺ (25°C); Specific gravity; 1.065–1.076 (25°C); Refractive index; 1.5270–1.5311 (20°C)","(FEMA, 1994)","[['Nonalcoholic beverages', '150.00', '220.00'], ['Soft candy', '75.00', '150.00']]",,,,,,977075-23-2,,,,,,,"The main constituents include α-pinene, phellandrene, safrole (main constituent ~80%), eugenol and d-camphor ",,,"It is a clear, yellow-orange liquid "
"SASSAFRAS EXTRACT (SAFROLE-FREE)",,,,977051-97-0,,,1157,,,,,"The essential oil from leaves has a very pleasant odor reminiscent of lemon and different from root bark oil","<1.00 lb","0.0002780 mg/kg/day",,"21 CFR 172.580",,,,Natural,"(Burdock, 1997); Optical rotation; ca. +6°; Specific gravity; ca. 0.872; Composition:; Its main constituents include α-pinene, myrcene, phellandrene, citral, geraniol and linalool (free or esterified); the ; commercial product must be free of safrole ",,,,,,,,,,,,,,,,,,
"SAUNDERS, RED","Pterocarpus santalinus L f",Fabaceae,"Red sandalwood; Red sounders; Ruby wood; C I. Natural Red 22",98225-55-9,,,6145,,,,,"This is a lofty forest tree growing wild mainly in India, Ceylon and the Philippines; a few Pterocarpus varieties also grow in tropical Africa. The leaves are alternate, stalked, ternate and rarely pinnate; the leaflets alternate, petiolate, the uppermost larger, ovate-roundish or oblong, entire, emarginate or retuse, smooth above and hairy beneath; the stipules wanting. The flowers are yellow, with red veins, papilionaceous and borne in axillary, simple or branched, erect racemes. The wood is not fragrant and does not yield an essential oil on steam distillation. The wood is comminuted into a fine powder that is used as a red dye in a few food products (spice blends and sauces). The wood is the only part used ","<1.00 lb","0.00000017 mg/kg/day",,"21 CFR 172.510","HOC (1992)",,,Natural,,,,,,,,,,"Extractives and their physically modified derivatives, such as tinctures, concretes, and absolutes, obtained from P. santalinus ",,,"Santal rouge (Fr ), Rotes Sandelholz (Ger ), Santalia (Sp ), Sandalo rosso (It )",,,"The coloring principle of red saunders is santalic acid (santalin). A new isoflavone glucoside, 4ʹ,5-dihydroxy 7-O-methyl isoflavone 3ʹ-O-beta-D-glucoside together with santal, liquiritigenin and isoliquiritigenin has been isolated from the heartwood of red saunders * P. santalinus contains santalins A, B and C, but no santarubin. Savinin and calocedrin, dibenzyl butyrolactone-type lignan compounds having an α-arylidene γ-lactone structure, were isolated from red saunders †",,,
"SAVORY, SUMMER","Satureja hortensis L","Lamiaceae; Labiatae",,,,3012,3012,,,,,"Summer savory is an annual, herbaceous plant growing wild or cultivated in the mountain regions of Europe, the Mediterranean basin and some midwestern areas of the United States. It is an aromatic plant exhibiting a taproot, erect stalk, opposite leaves and white, red-dotted flowers (June to July) arranged in axillary clusters. The flowering tops are the parts used. Summer savory has an aromatic, thyme-like odor and flavor ","126833.33 lb","0.1074 mg/kg/day",,"21 CFR 182.10, 582.10","HOC (1992)",,"312.822 mg",Natural,,"(FEMA, 1994)","[['Baked goods', '1252.00', '2676.00'], ['Meat products', '343.40', '727.40'], ['Condiments, relishes', '5190.00', '5190.00'], ['Processed vegetables', '738.20', '1436.00'], ['Gravies', '7.64', '11.22'], ['Soups', '178.00', '372.00']]",,,,,,977051-98-1,"Infusion (93%), fluid extract, tincture (20% in 60% ethanol) and oleoresin",,,"Sarriette des Jardin (Fr ), Bohnenkraut (Ger ), Saborija (Sp ), Santoreggia (It )",,,"The volatile oil from dried summer savory contains carvacrol, thymol and monoterpene hydrocarbons (β-pinene, limonene, p-cymene, camphene) ",,,
"SAVORY (SUMMER) OIL",,,"Oils, savory, summer; Oleoresin savory; Savory oil; Savory oil, summer; Savory oil (summer variety); Summer savory oil",8016-68-0,,3013,3013,,,,,"The essential oil is obtained by distillation of the whole dried herb. The volatile oil yield is approximately 1% of the dried plant. It has a spicy, aromatic odor reminiscent of thyme and origanum ","95.00 lb","0.0000805 mg/kg/day",,"21 CFR 182.20, 582.20","See Savory, Summer ",,"37.262 mg",Natural,"(FCC, 1996); Angular rotation; Between –5° and +4°; Saponification value; Not more than 6; Assay; Not less than 20.0% and not more than ; 57.0% phenols as carvacrol ; (C10H14O); Solubility in alcohol; Passes test; Heavy metals (as Pb); Passes test; Specific gravity; Between 0.875 and 0.954 (25°C); Refractive index; Between 1.486 and 1.505 (20°C)","(FEMA, 1994)","[['Baked goods', '176.00', '262.80'], ['Meat products', '148.80', '357.80'], ['Condiments, relishes', '160.00', '373.00'], ['Soft candy', '7.00', '10.00']]",,,,,,,,,,,"The main constituents of the essential oil in summer savory are the phenols carvacrol and thymol as well as p-cymene, caryophyllene, linalool, terpineol, camphene, myrcene and other terpenoids ",,,,,"It is a light yellow to dark brown liquid. It is soluble in most fixed oils and mineral oil. It is practically insoluble in glycerin and propylene glycol"
"SAVORY (SUMMER) OLEORESIN",,,,,,3014,3014,,,,,"See Savory Summer","<1.0 lb","<1.00 mg/kg/day",,"21 CFR 182.20, 582.20",,,"8.178 mg",Natural,,"(FEMA, 1994)","[['Baked goods', '7.25', '16.00'], ['Meat products', '85.00', '100.0'], ['Condiments, relishes', '50.00', '75.00'], ['Soft candy', '13.75', '17.50']]",,,,,,977029-75-6,,,,,,,,,,
"SAVORY, WINTER","Satureja montana L",Lamiaceae,,,,3015,3015,,,,,"Winter savory, or dwarf savory, is a smaller annual subshrub that flowers in winter. The plant grows in dense thickets, 10 to 30 cm (4 to 12 in ) high, having lanceolate, narrow leaves, short, whitish bristles and thick, sunken glands. S. montana exhibits a pleasant, aromatic scent and a slightly pungent taste. The whole herb is used (harvested when flowering and freed from the stems and the larger branches). Winter savory has a spicy, phenolic odor with a biting, almost bitter flavor, similar to summer savory ","333.33 lb","0.0002824 mg/kg/day",,"21 CFR 182.10, 582.10","HOC (1992)",,,Natural,,,,,,,,,977051-99-2,Oleoresin,,,"Sarriette, Savourée (Fr ), Bolmenkraut (Ger ), Saborija (Sp ), Santoreggia (It )","The volatile oil is primarily composed of carvacrol (~65%). Other constituents include thymol, p-cymene and triterpenic acids ",,,,,
